DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.10.31,12:00:00,1.15644,1.15645,1.14755,1.14797,38426,0,0
2022.10.31,16:00:00,1.14797,1.15285,1.146,1.14682,42560,0,0
2022.10.31,20:00:00,1.14684,1.14776,1.14507,1.14663,18271,0,0
2022.11.01,0:00:00,1.14662,1.14966,1.14637,1.14909,22614,0,0
2022.11.01,4:00:00,1.14909,1.15324,1.14891,1.15234,38359,0,0
2022.11.01,8:00:00,1.15231,1.15498,1.15015,1.15344,51065,0,0
2022.11.01,12:00:00,1.15339,1.15663,1.15272,1.15489,37562,0,0
2022.11.01,16:00:00,1.15488,1.15507,1.1437,1.14854,54118,0,0
2022.11.01,20:00:00,1.14853,1.14885,1.14664,1.14881,14983,0,0
2022.11.02,0:00:00,1.14873,1.15103,1.14719,1.15064,32634,0,5
2022.11.02,4:00:00,1.15063,1.15264,1.14963,1.15107,41357,0,1
2022.11.02,8:00:00,1.15107,1.1524,1.14847,1.14976,44732,0,0
2022.11.02,12:00:00,1.14976,1.15171,1.14804,1.14932,41493,0,0
2022.11.02,16:00:00,1.14932,1.14944,1.14488,1.14723,34092,0,0
2022.11.02,20:00:00,1.147,1.15645,1.13836,1.13896,47556,0,0
2022.11.03,0:00:00,1.13895,1.14218,1.13743,1.14125,27718,0,4
2022.11.03,4:00:00,1.14124,1.14207,1.14035,1.14094,27871,0,1
2022.11.03,8:00:00,1.14089,1.1409,1.1244,1.1253,50333,0,0
2022.11.03,12:00:00,1.1253,1.12698,1.11566,1.11775,57820,0,0
2022.11.03,16:00:00,1.11773,1.12299,1.11575,1.11766,51059,0,0
2022.11.03,20:00:00,1.11766,1.11793,1.11503,1.11597,17312,0,0
2022.11.04,0:00:00,1.11599,1.11985,1.11494,1.11982,24119,0,2
2022.11.04,4:00:00,1.11982,1.12412,1.11909,1.12075,34637,0,0
2022.11.04,8:00:00,1.12076,1.12497,1.11916,1.12188,53617,0,0
2022.11.04,12:00:00,1.12188,1.12969,1.11475,1.12701,56010,0,0
2022.11.04,16:00:00,1.12702,1.13373,1.12624,1.13328,62557,0,0
2022.11.04,20:00:00,1.13327,1.13817,1.13208,1.13734,21515,0,0
2022.11.07,0:00:00,1.13094,1.13431,1.12982,1.13253,24020,0,1
2022.11.07,4:00:00,1.13252,1.13501,1.13178,1.13351,32574,0,1
2022.11.07,8:00:00,1.13352,1.14704,1.12904,1.1441,63003,0,0
2022.11.07,12:00:00,1.1441,1.14777,1.14263,1.14701,45353,0,0
2022.11.07,16:00:00,1.14701,1.15187,1.1441,1.15176,48385,0,0
2022.11.07,20:00:00,1.15176,1.15414,1.15097,1.15133,19875,0,0
2022.11.08,0:00:00,1.151,1.15369,1.14994,1.15149,24846,0,3
2022.11.08,4:00:00,1.15149,1.15187,1.14797,1.14865,32047,0,0
2022.11.08,8:00:00,1.14865,1.14976,1.14438,1.14916,48230,0,0
2022.11.08,12:00:00,1.14915,1.14932,1.14297,1.14458,39654,0,0
2022.11.08,16:00:00,1.14459,1.15991,1.14443,1.15782,42145,0,0
2022.11.08,20:00:00,1.1578,1.15849,1.1512,1.15428,13319,0,0
2022.11.09,0:00:00,1.15362,1.15575,1.15226,1.15297,9564,0,8
2022.11.09,4:00:00,1.15297,1.15596,1.15297,1.1535,15279,0,1
2022.11.09,8:00:00,1.15349,1.1567,1.14374,1.14522,43653,0,1
2022.11.09,12:00:00,1.14519,1.14763,1.14044,1.14102,45459,0,0
2022.11.09,16:00:00,1.14103,1.14396,1.13561,1.13792,52890,0,0
2022.11.09,20:00:00,1.13799,1.13846,1.13334,1.13548,13577,0,0
2022.11.10,0:00:00,1.13517,1.13919,1.13335,1.13866,6710,0,8
2022.11.10,4:00:00,1.13866,1.14119,1.13721,1.14074,12979,0,1
2022.11.10,8:00:00,1.14073,1.1413,1.1363,1.13663,41825,0,0
2022.11.10,12:00:00,1.13664,1.16537,1.13657,1.16079,35866,0,0
2022.11.10,16:00:00,1.16083,1.16867,1.15927,1.16439,69513,0,0
2022.11.10,20:00:00,1.16441,1.17309,1.16433,1.17138,19433,0,0
2022.11.11,0:00:00,1.17035,1.17167,1.1647,1.165,10412,0,7
2022.11.11,4:00:00,1.165,1.17176,1.165,1.17084,17499,0,1
2022.11.11,8:00:00,1.17083,1.17709,1.16926,1.1756,44807,0,0
2022.11.11,12:00:00,1.17558,1.17959,1.17194,1.17802,63463,0,0
2022.11.11,16:00:00,1.17804,1.18047,1.17088,1.17988,61611,0,0
2022.11.11,20:00:00,1.1799,1.18549,1.17956,1.18321,31301,0,0
2022.11.14,0:00:00,1.17963,1.18173,1.17647,1.1788,35721,0,1
2022.11.14,4:00:00,1.17878,1.17933,1.17431,1.17474,39865,0,0
2022.11.14,8:00:00,1.17474,1.18289,1.17474,1.18005,53438,0,0
2022.11.14,12:00:00,1.17996,1.18132,1.17395,1.17582,57849,0,0
2022.11.14,16:00:00,1.17584,1.17669,1.171,1.17578,57495,0,0
2022.11.14,20:00:00,1.1758,1.18029,1.17498,1.17572,26409,0,0
2022.11.15,0:00:00,1.17541,1.17673,1.17404,1.17485,19540,0,3
2022.11.15,4:00:00,1.17484,1.1784,1.17437,1.17762,23583,0,1
2022.11.15,8:00:00,1.17758,1.18446,1.177,1.18234,53874,0,0
2022.11.15,12:00:00,1.18248,1.20296,1.18204,1.19673,61369,0,0
2022.11.15,16:00:00,1.19682,1.1989,1.18558,1.18923,71005,0,0
2022.11.15,20:00:00,1.18923,1.1897,1.17903,1.18651,54219,0,0
2022.11.16,0:00:00,1.18613,1.1887,1.18323,1.18437,33743,0,0
2022.11.16,4:00:00,1.18437,1.18842,1.1831,1.18706,40100,0,0
2022.11.16,8:00:00,1.18703,1.19029,1.18368,1.18956,54490,0,0
2022.11.16,12:00:00,1.18956,1.1942,1.18596,1.18722,59098,0,0
2022.11.16,16:00:00,1.18723,1.19057,1.18319,1.18949,65203,0,0
2022.11.16,20:00:00,1.1895,1.19248,1.18688,1.19133,32578,0,0
2022.11.17,0:00:00,1.19088,1.19206,1.18832,1.18871,24784,0,3
2022.11.17,4:00:00,1.1887,1.19044,1.18658,1.18975,39790,0,0
2022.11.17,8:00:00,1.18976,1.1958,1.18694,1.18862,51275,0,0
2022.11.17,12:00:00,1.18863,1.18894,1.17628,1.17648,64330,0,0
2022.11.17,16:00:00,1.17647,1.18443,1.17632,1.18371,56566,0,0
2022.11.17,20:00:00,1.18368,1.18684,1.18346,1.18609,26841,0,0
2022.11.18,0:00:00,1.18603,1.19017,1.18544,1.1886,28252,0,3
2022.11.18,4:00:00,1.1886,1.19312,1.18857,1.19033,38542,0,0
2022.11.18,8:00:00,1.19031,1.19508,1.18815,1.19273,55960,0,0
2022.11.18,12:00:00,1.19275,1.1941,1.18905,1.19064,44633,0,0
2022.11.18,16:00:00,1.1907,1.19378,1.18731,1.1879,53192,0,0
2022.11.18,20:00:00,1.18791,1.19006,1.18751,1.18844,25964,0,0
2022.11.21,0:00:00,1.18914,1.18992,1.18455,1.18565,24332,0,1
2022.11.21,4:00:00,1.18565,1.18569,1.18207,1.18322,31231,0,1
2022.11.21,8:00:00,1.18323,1.18404,1.17924,1.18053,50556,0,0
2022.11.21,12:00:00,1.18052,1.18303,1.17847,1.18092,44466,0,0
2022.11.21,16:00:00,1.18092,1.18278,1.17781,1.17935,48654,0,0
2022.11.21,20:00:00,1.17933,1.18244,1.17907,1.18233,12606,0,0
2022.11.22,0:00:00,1.18169,1.18589,1.18151,1.18531,27514,0,0
2022.11.22,4:00:00,1.1853,1.18638,1.18339,1.18444,34272,0,0
2022.11.22,8:00:00,1.18446,1.18839,1.18244,1.18602,50372,0,0
2022.11.22,12:00:00,1.186,1.19024,1.1846,1.18765,40748,0,0
2022.11.22,16:00:00,1.18766,1.18916,1.18553,1.1882,43703,0,0
2022.11.22,20:00:00,1.1882,1.18936,1.18742,1.18831,23708,0,0
2022.11.23,0:00:00,1.18832,1.1909,1.18758,1.18841,23824,0,0
2022.11.23,4:00:00,1.18842,1.1894,1.18725,1.18859,23778,0,1
2022.11.23,8:00:00,1.18858,1.19363,1.18743,1.19194,42213,0,0
2022.11.23,12:00:00,1.19194,1.19821,1.1905,1.19706,41593,0,0
2022.11.23,16:00:00,1.19706,1.20809,1.19661,1.20292,54750,0,0
2022.11.23,20:00:00,1.20294,1.20725,1.20193,1.20532,36040,0,0
2022.11.24,0:00:00,1.20497,1.20925,1.20471,1.20882,28496,0,4
2022.11.24,4:00:00,1.20883,1.21127,1.20792,1.20929,31835,0,0
2022.11.24,8:00:00,1.20928,1.20973,1.20594,1.20935,50419,0,0
2022.11.24,12:00:00,1.20938,1.21322,1.20868,1.21172,48962,0,0
2022.11.24,16:00:00,1.2117,1.21535,1.21161,1.21237,36080,0,0
2022.11.24,20:00:00,1.21237,1.21242,1.21108,1.21163,18123,0,3
2022.11.25,0:00:00,1.21092,1.21174,1.20959,1.21008,15491,0,0
2022.11.25,4:00:00,1.21008,1.21275,1.20955,1.21003,22609,0,0
2022.11.25,8:00:00,1.21002,1.21253,1.20725,1.20804,35700,0,0
2022.11.25,12:00:00,1.20804,1.21202,1.20579,1.20795,35860,0,0
2022.11.25,16:00:00,1.20795,1.21112,1.20628,1.2095,41655,0,0
2022.11.25,20:00:00,1.20947,1.21047,1.20722,1.20913,17750,0,0
2022.11.28,0:00:00,1.20565,1.20748,1.20302,1.20381,31620,0,2
2022.11.28,4:00:00,1.20383,1.20601,1.20253,1.20494,36473,0,0
2022.11.28,8:00:00,1.20492,1.21181,1.20467,1.20873,57473,0,0
2022.11.28,12:00:00,1.20872,1.21104,1.20593,1.20755,50473,0,0
2022.11.28,16:00:00,1.20756,1.20759,1.20007,1.20009,54250,0,0
2022.11.28,20:00:00,1.20009,1.20075,1.19401,1.19554,34161,0,0
2022.11.29,0:00:00,1.19539,1.19919,1.19446,1.19891,33827,0,4
2022.11.29,4:00:00,1.1989,1.2022,1.19829,1.20114,38407,0,1
2022.11.29,8:00:00,1.20114,1.20644,1.19799,1.19862,52441,0,0
2022.11.29,12:00:00,1.19874,1.20351,1.19789,1.19872,36017,0,0
2022.11.29,16:00:00,1.1987,1.20174,1.19531,1.1971,51740,0,0
2022.11.29,20:00:00,1.1971,1.19766,1.19449,1.19517,9520,0,1
2022.11.30,0:00:00,1.19482,1.19901,1.19413,1.19811,6572,0,12
2022.11.30,4:00:00,1.19811,1.19929,1.19707,1.19792,12347,0,1
2022.11.30,8:00:00,1.19794,1.20161,1.19479,1.20145,35476,0,0
2022.11.30,12:00:00,1.20143,1.20294,1.19857,1.1987,40784,0,0
2022.11.30,16:00:00,1.19867,1.20241,1.19002,1.19423,55268,0,0
2022.11.30,20:00:00,1.19422,1.20866,1.19212,1.2055,33286,0,1
2022.12.01,0:00:00,1.20555,1.21045,1.20486,1.20826,8733,0,8
2022.12.01,4:00:00,1.20825,1.21079,1.20733,1.21026,12252,0,1
2022.12.01,8:00:00,1.21023,1.21512,1.20697,1.21498,44420,0,0
2022.12.01,12:00:00,1.21498,1.22421,1.21351,1.22143,45024,0,1
2022.12.01,16:00:00,1.22143,1.23109,1.22091,1.22597,66246,0,0
2022.12.01,20:00:00,1.22596,1.22756,1.22336,1.2255,17637,0,0
